poblacion,2016-1,2016-2,2016-3,2016-4,2017-1,2017-2,2017-3,2017-4,2018-1,2018-2,2018-3,2018-4,2019-1,2019-2,2019-3,2019-4,2020-1,2020-2,2020-3,2020-4,2021-1,2021-2,2021-3,2021-4,2022-1,2022-2,2022-3,2022-4,2023-1,2023-2,2023-3,2023-4
Pobla (Sa),22,22,19,38,32,53,31,33,40,28,28,40,31,39,40,41,30,12,39,32,39,40,36,38,27,62,44,46,50,45,42,45
Pollença,92,75,64,100,80,84,96,76,56,90,79,84,76,75,67,92,65,22,59,68,42,74,82,139,85,103,94,79,67,79,72,79
Porreres,8,6,12,15,15,17,11,19,12,21,10,20,14,18,16,15,16,8,19,21,10,21,19,22,23,21,18,19,17,18,13,18
Puigpunyent,6,10,5,6,11,7,6,7,6,5,6,9,7,4,7,7,3,4,3,9,4,2,7,8,9,8,9,12,3,8,8,4
Salines (Ses),9,19,28,25,19,23,21,24,27,21,16,13,21,27,36,31,16,7,25,22,25,25,28,31,39,31,47,20,25,30,26,35
Sant Antoni de Portmany,58,55,25,49,72,111,37,113,68,77,28,40,55,43,38,49,34,14,31,32,49,47,50,87,57,82,54,56,62,60,65,50
Sant Joan,1,6,2,2,2,2,5,2,5,4,6,9,2,4,1,8,3,6,4,4,7,4,7,4,7,4,3,5,4,5,7,5
Sant Joan de Labritja,15,22,14,10,18,30,23,25,23,19,11,12,16,14,20,13,5,7,11,6,8,11,9,12,25,13,10,10,14,7,10,9
Sant Josep de sa Talaia,116,136,90,162,215,180,146,198,160,143,107,105,93,105,116,109,73,42,85,88,67,122,139,148,201,147,128,149,83,120,116,96
Sant Llorenç des Cardassar,40,48,47,51,45,56,29,62,25,46,57,53,41,35,34,43,21,12,33,23,30,57,70,67,40,54,44,46,28,43,38,32
Sant Lluís,27,35,37,61,38,41,44,52,39,37,31,38,31,30,37,50,21,16,28,49,28,41,28,45,41,42,28,29,24,47,29,18
Santa Eugènia,0,3,2,2,4,1,3,2,1,2,4,1,4,5,2,3,3,2,3,1,0,4,1,6,5,3,5,2,1,3,2,4
Santa Eulalia del Río,122,152,126,176,137,155,123,198,114,120,105,156,115,123,78,127,87,59,93,108,68,132,141,216,145,123,144,182,87,97,81,105
Santa Margalida,24,40,25,37,35,44,33,37,36,48,25,53,31,44,27,56,31,20,19,40,31,38,49,48,40,53,40,34,31,32,28,35
Santa María del Camí,12,15,13,15,13,18,16,27,16,12,10,12,11,13,6,13,12,9,11,15,13,15,9,15,19,24,18,14,19,18,9,6
Santanyí,58,101,60,84,92,78,115,98,77,85,65,84,58,80,132,141,70,23,55,75,56,83,121,126,111,100,104,101,56,83,70,122
Selva,8,6,8,11,11,7,9,13,14,10,13,10,8,19,9,15,15,7,7,9,11,24,7,16,18,13,13,15,12,6,10,7
Sencelles,5,8,3,4,5,8,7,7,4,10,9,1,14,8,11,8,7,2,13,5,9,5,4,4,5,10,6,5,9,6,2,6
Sineu,9,8,3,6,1,9,15,6,12,10,9,21,18,4,6,6,3,4,5,10,9,14,13,17,12,11,15,12,9,17,12,13
Sóller,37,47,45,47,47,40,66,54,39,43,41,53,35,39,27,36,30,22,34,31,26,34,39,54,46,43,37,38,22,27,37,24
Son Servera,37,37,61,46,44,46,46,46,43,50,54,51,39,69,47,60,51,11,32,34,32,35,52,71,47,64,68,56,38,75,51,84
Valldemossa,5,11,4,5,3,5,10,5,12,10,12,6,9,1,7,12,5,3,4,15,4,14,7,9,4,5,6,4,7,10,7,3
Vilafranca de Bonany,5,6,7,9,5,9,3,3,5,17,7,6,5,12,3,9,11,5,5,10,16,8,6,13,5,11,10,3,9,4,8,3
